ID,RequirementText,Functional (F),Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US)
2118,The system shall display all the available components of the product to configure,,,,,,,,,,,,
2119,"The system shall display the reviews and ratings of each product, when it is selected.",,,,,,,,,,,,
2120,"The system shall allow user to change shipping, payment method.",,,,,,,,,,,,
2121,The system shall allow user to cancel the order,,,,,,,,,,,,
2122,If supervised by an RBC it shall be possible to command an emergency stop to all trains in a particular area or to a specific train,,,,,,,,,,,,
2123,Operation of the train trip shall be indicated on the DMI.,,,,,,,,,,,,
2124,It shall be possible to command an immediate train stop.,,,,,,,,,,,,
2125,It shall be possible to command a conditional emergency stop. If the train has already passed the location for the emergency stop the command shall be ignored,,,,,,,,,,,,
2126,When a train has received an emergency stop ETCS shall command the emergency brake.,,,,,,,,,,,,
2127,The emergency stop shall be indicated to the driver on the DMI.,,,,,,,,,,,,
2128,Route unsuitability shall be indicated on the DMI.,,,,,,,,,,,,
2129,The driver shall be able to override the function when the train is stationary.,,,,,,,,,,,,
2130,After overriding this function the movement authority shall be re-established.,,,,,,,,,,,,
2131,When a traction unit passes a stop-signal the emergency brake shall be triggered.,,,,,,,,,,,,
2132,The ETCS trainborne equipment shall transmit its own train identification to the RBC.,,,,,,,,,,,,
2133,When the traction unit is stationary the driver shall be required to acknowledge the train trip condition. This acknowledgement will release the emergency brake.,,,,,,,,,,,,
2134,After the acknowledgement the driver shall be able to continue the movement,,,,,,,,,,,,
2135,After the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,,,,,,,,,,,,
2136,The train running number shall consist of a maximum of 8 numeric digits.,,,,,,,,,,,,
2137,"Geographical position of the train n demand, the position of the front end of the train at the time of the demand shall be indicated on the DMI. This shall be possible while the train is moving or stationary.",,,,,,,,,,,,
2138,The ETCS on-board shall be capable of receiving information about pantograph and power supply from the trackside.,,,,,,,,,,,,
2139,The ETCS trainborne equipment shall indicate on the DMI the information regarding pantograph and power supply.,,,,,,,,,,,,
2140,The information regarding lowering and raising of the pantograph and opening/closing of the circuit breaker shall be provided separately and in combinations.,,,,,,,,,,,,
2141,The ETCS on-board shall be capable of receiving information regarding air tightness from the trackside.,,,,,,,,,,,,
2142,The emergency brake shall be applied until the traction unit is stationary.,,,,,,,,,,,,
2143,The train shall be capable of receiving any track-to-train information intended and relevant for this train including movement authority.,,,,,,,,,,,,
2144,Information received shall not influence the traction unit(s) with in-operative cabs.,,,,,,,,,,,,
2145,A special indication shall be shown on the DMI.,,,,,,,,,,,,
2146,It shall be possible to send plain text messages from track to train.,,,,,,,,,,,,
2147,The roll away/reverse movement intervention shall be indicated on the DMI.,,,,,,,,,,,,
2148,"When the traction unit has come to a standstill, the driver shall be able to release the emergency brake.",,,,,,,,,,,,
2149,After releasing the emergency brake ETCS will provide the supervision appertaining when roll away protection was initiated,,,,,,,,,,,,
2150,When using more than one traction unit this function shall be disabled in all but the leading traction unit.,,,,,,,,,,,,
2151,"All data entered, received or indicated to the driver shall be recorded onboard. All data shall be related to UTC (Universal Time Corrected) and a reference point.",,,,,,,,,,,,
2152,Information shall be recorded to an accuracy which enables a clear view of the functioning of ETCS and way the traction unit has been driven.,,,,,,,,,,,,
2153,Standardised output interfaces shall enable transmission of information recorded to other media for investigation,,,,,,,,,,,,
2154,"The retention period for the recorded data will be different and two levels are foreseen: Data to enable investigation of accidents need only be stored for at least 24 hours, and shall be very detailed, Operational data to enable assessment of driver performance shall be stored for at least one week.",,,,,,,,,,,,
2155,"The following information shall be recorded: any transition of Level and of operational status, The driverâ€™s confirmation of transition to shunting shall be recorded, train supervision data and information received from national train control systems, actual speed, full service brake intervention, emergency brake intervention, applying the train trip function, selection of the override control, override of the route suitability function, isolation of on board ETCS equipment, Data entered, recieved or indicated to the driver",,,,,,,,,,,,
2156,It shall be possible to use multiple traction units without isolating the ETCS trainborne equipment on traction unit(s) with an in-operative cab.,,,,,,,,,,,,
2157,The train trip function (4.6.12.) shall be suppressed in traction unit(s) with in-operative cabs.,,,,,,,,,,,,
2158,It shall be possible to use tandem traction units without isolating the ETCS trainborne equipment on the tandem traction unit.,,,,,,,,,,,,
2159,The train trip function (4.6.12.) shall be suppressed on the tandem traction unit.,,,,,,,,,,,,
2160,The driver shall enter the driver ID,,,,,,,,,,,,
2161,It shall be possible to drive the train backwards in a supervised way (speed and distance) according to information received from trackside,,,,,,,,,,,,
2162,The train speed shall be at or below a speed specified by a national value.,,,,,,,,,,,,
2163,The driver shall select an override control according to the permission received.,,,,,,,,,,,,
2164,The override control shall be protected against inadvertent operation.,,,,,,,,,,,,
2165,"When the train passes the stop signal, the train trip function shall be suppressed.",,,,,,,,,,,,
2166,Actual speed shall still be shown on the DMI.,,,,,,,,,,,,
2167,The supervised speed shall not be shown on the DMI.,,,,,,,,,,,,
2168,"When the plain text message appears on the DMI, the driver shall be alerted.",,,,,,,,,,,,
2169,"The following definitions shall apply for the ETCS application levels:Level 0 - ETCS active for limited train control function; trackside not fitted with any train control system or fitted with a train control system for which no STM is available onboard, Level 1 - Basic track to train information via intermittent transmission media, e.g. balises. This information can be supported by infill, transmitted via balise, loop or radio. Level 2 - Basic track to train and train to track information via continuous transmission media, i.e. radio. The train detection is provided by trackside, Level 3: Same as level 2 except that train integrity is provided by onboard and therefore trackside. train detection is optional, Level STM (Specific Transmission Module): Track to train information provided by national system. Onboard functions provided by national system (STM) in co-operation with onboard ETCS.",,,,,,,,,,,,
2170,The character set used shall support different languages.,,,,,,,,,,,,
2171,It shall be possible to implement one or more of the ETCS application levels on a line.,,,,,,,,,,,,
2172,"Trains equipped for ERTMS/ETCS application level 3 shall be able to run on lines equipped with ERTMS/ETCS application level 3, 2, 1 and 0, trains equipped for ERTMS/ETCS application level 2 shall be able to run on lines equipped with ERTMS/ETCS application level 2, 1 and 0 and trains equipped for ERTMS/ETCS application level 1 shall be able to run on lines equipped with ERTMS/ETCS application level 1 and 0.",,,,,,,,,,,,
2173,The current application level shall be indicated on the DMI.,,,,,,,,,,,,
2174,"The driver shall acknowledge the level transitions, if requested from trackside. If the driver does not acknowledge after the transition the brake shall be applied. If the driver acknowledges afterwards, the brake can be released.",,,,,,,,,,,,
2175,ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.,,,,,,,,,,,,
2176,"The ETCS trainborne equipment shall be capable of supervising the following operational states: Full Supervision operation, Partial Supervision operation, National operation (STM), Tandem operation, Multiple operation, Shunting operation, Stand By operation, Reversing operation.",,,,,,,,,,,,
2177,Any transition which occurs while the train is moving shall in principle occur automatically.,,,,,,,,,,,,
2178,"Transitions which occur while the train is stationary, shall be initiated automatically or manually as appropriate.",,,,,,,,,,,,
2179,"If, as a result of an automatic transition, except for transitions to and from National Operation (STM), the responsibility for the driver increases, the ETCS shall seek an acknowledgement from the driver, whether the train is stationary or not.",,,,,,,,,,,,
2180,"For transitions to and from National Operation (STM) the ETCS shall request, an acknowledgement by the driver.",,,,,,,,,,,,
2181,"In case the transition has to be acknowledged and the driver fails to acknowledge as required, the ETCS shall initiate a brake application.",,,,,,,,,,,,
2182,During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state.,,,,,,,,,,,,
2183,"If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.",,,,,,,,,,,,
2184,"If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.",,,,,,,,,,,,
2185,The current operational status shall be indicated to the driver on the DMI.,,,,,,,,,,,,
2186,The ETCS on-board shall be capable of receiving National values from the trackside to adapt to National requirements.,,,,,,,,,,,,
2187,National values shall be applicable to a defined area.,,,,,,,,,,,,
2188,Once received onboard the national values shall remain valid even if the onboard equipment is switched off.,,,,,,,,,,,,
2189,"If the on-board has no valid national values for the current location, default values shall be used by the onboard equipment.",,,,,,,,,,,,
2190,"Default values shall be harmonised values, permanently stored in all ERTMS/ETCS on board equipment.",,,,,,,,,,,,
2191,"The trainborne equipment shall apply the emergency brake after a distance, defined by a national value, is travelled by the train.",,,,,,,,,,,,
2192,ETCS is required to be functional to a maximum train speed of 500 km/h.,,,,,,,,,,,,
2193,The onboard equipment shall display plain text messages as received.,,,,,,,,,,,,
2194,If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.,,,,,,,,,,,,
2195,ETCS shall provide the driver with information to allow him to drive the train safely.,,,,,,,,,,,,
2196,It shall be possible to send fixed text messages from track to train,,,,,,,,,,,,
2197,Fixed text messages shall be provided in the language selected by the driver.,,,,,,,,,,,,
2198,"It shall be possible to send information regarding the inhibition of the following different types of brake(M): Regenerative brake, Eddy current brake, Magnetic shoe brake.",,,,,,,,,,,,
2199,Information shall be shown on the DMI,,,,,,,,,,,,
2200,The ETCS on-board shall be capable of sending to the trackside train integrity information detected by a system outside ETCS .,,,,,,,,,,,,
2201,The driver shall be able to confirm the train integrity to the RBC manually. The confirmation requires the train to be stationary.,,,,,,,,,,,,
2202,"The on board shall be capable of sending train data to the trackside after confirmation by the driver, or when entering the RBC area",,,,,,,,,,,,
2203,"The following train data shall be sent from the on board to the trackside: Train running number, STM ready for use, train gauge, Max. axle load, status of air tight system, type of el. power accepted, international train category, max. train speed, train length.",,,,,,,,,,,,
2204,It shall be possible to revoke a Movement Authority that has already been issued to a train in a co-operative way between RBC and train.,,,,,,,,,,,,
2205,"The co-operative revocation of the MA shall be possible to a new target location, proposed from RBC.",,,,,,,,,,,,
2206,The new target location shall be checked for acceptance by the on board.,,,,,,,,,,,,
2207,If a train cannot stop at the proposed new target location it shall reject the request and keep the old target location.,,,,,,,,,,,,
2208,The Reversing function shall only be possible in one active cab which is not closed at any time during the procedure.,,,,,,,,,,,,
2209,Reversing shall be possible as defined by a value given with the MA,,,,,,,,,,,,
2210,The driver shall be able to use the Reversing function without needing to re-confirm the train data.,,,,,,,,,,,,
2211,Reversing shall be supervised to a distance and speed set as National Values,,,,,,,,,,,,
2212,The distance supervised can be extended from the trackside.,,,,,,,,,,,,
2213,Once the train starts reversing the MA shall be cancelled.,,,,,,,,,,,,
2214,The train shall be able to automatically pass from one RBC area to another without driver intervention.,,,,,,,,,,,,
2215,If the train is equipped with two operational radios there shall be no performance penalty as a result of a transition from one RBC to another (train spacing and train speed).,,,,,,,,,,,,
2216,"If the train is equipped with only one operational radio, passing from one RBC to another shall still be possible but might result in a performance penalty.",,,,,,,,,,,,
2217,ETCS shall be able to supervise train and shunting movements.,,,,,,,,,,,,
2218,To protect a traction unit from roll away and unwanted reverse movements the trainborne equipment shall monitor the direction of movement in relation to the permitted direction.,,,,,,,,,,,,
2219,It shall be possible to prevent a train from entering a route for which it does not meet the required criteria.,,,,,,,,,,,,
2220,The driver shall be able to release an ETCS emergency brake application when stationary.,,,,,,,,,,,,
2221,"When the ETCS trainborne equipment is isolated, the system shall not show any ETCS information other than the fact that the system is isolated.",,,,,,,,,,,,
2222,Isolation of the ETCS trainborne equipment shall disconnect the ETCS trainborne equipment from the vehicle braking system.,,,,,,,,,,,,
2223,The ETCS trainborne equipment shall be capable of receiving information from the national train control systems by means of the STM.,,,,,,,,,,,,
2224,The DMI shall display or be compatible with information from national train control systems. This may mean displaying the information shown by the national system.,,,,,,,,,,,,
2225,Unfitted operation shall be possible if ordered by trackside,,,,,,,,,,,,
2226,Unfitted operation shall be possible if selected by the driver at start up,,,,,,,,,,,,
2227,The on board shall supervise the train against a ceiling speed,,,,,,,,,,,,
2228,The ceiling speed value for the unfitted operation is determined by the lower value out of Maximum train speed and National value for unfitted operation.,,,,,,,,,,,,
2229,The onboard shall be capable to switch to another ETCS status when transmitted from trackside,,,,,,,,,,,,
2230,The ETCS on-board shall be capable of receiving track description from the trackside.,,,,,,,,,,,,
2231,It shall be possible to send information on adhesion conditions from trackside.,,,,,,,,,,,,
2232,"It shall also be possible, to allow the driver to change the adhesion conditions; in this case information from trackside has priority.",,,,,,,,,,,,
2233,The trackside shall be able to send information for the calculation of speed profiles.,,,,,,,,,,,,
2234,"If track data at least to the location where the relevant movement authority ends are not available on-board, the movement authority shall be rejected.",,,,,,,,,,,,
2235,Track to train transmission shall provide the capability to send different speed profiles for specific train categories.,,,,,,,,,,,,
2236,"The ETCS trainborne equipment shall supervise the end of movement authority, if this information is available on-board.",,,,,,,,,,,,
2237,The target distance to be displayed on the DMI shall be based on the most restrictive braking curve.,,,,,,,,,,,,
2238,"Together with the movement authority, the on board shall be able to receive one or more time-out(s) for certain sections of the movement authority, and shorten the movement authority accordingly when a time out expires.",,,,,,,,,,,,
2239,"Using train data and infrastructure data, braking curves shall be calculated taking into account the target information but not the location of vehicles occupying the track.",,,,,,,,,,,,
2240,The ceiling speed level for the movement authority shall be defined as data National Value.,,,,,,,,,,,,
2241,"Before entering an occupied track, a driver acknowledgement shall be requested .",,,,,,,,,,,,
2242,The ETCS trainborne equipment shall be capable of being isolated.,,,,,,,,,,,,
2243,The train shall be supervised according to train speed data available.,,,,,,,,,,,,
2244,"The trainborne equipment shall remain in Full Supervision until the trainborne equipment is not active any longer, when Shunting is selected or when Partial Supervision information is received.",,,,,,,,,,,,
2245,It shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a Full Supervision movement authority.,,,,,,,,,,,,
2246,"If decided by a national value, the driver may release the ETCS emergency brake when the actual speed is below the permitted speed.",,,,,,,,,,,,
2247,"An ETCS equipped traction unit shall be capable of being moved in Shunting without train data, track data or movement authority.",,,,,,,,,,,,
2248,Transfer to Shunting on driverâ€™s selection shall only be possible when stationary.,,,,,,,,,,,,
2249,To prevent unauthorised use of the function permission shall be obtained from the RBC if the train is operating under the control of the RBC.,,,,,,,,,,,,
2250,Permission received shall be indicated to the driver.,,,,,,,,,,,,
2251,"It shall be possible to manually select Shunting from Stand By operation, Full Supervision operation or Partial Supervision operation",,,,,,,,,,,,
2252,Automatic transfer to Shunting may be from Full Supervision operation and Partial Supervision operation status at any speed lower than or equal to the supervised shunting speed based on trackside information.,,,,,,,,,,,,
2253,"Before authomatic transition to Shunting, ETCS shall request confirmation from the driver.",,,,,,,,,,,,
2254,ETCS shall supervise Shunting operation to a permitted national speed value.,,,,,,,,,,,,
2255,"It shall be possible to apply the train trip function, if the shunting movement passes a signal showing ""danger for shunting"".",,,,,,,,,,,,
2256,Exit from Shunting shall only be possible when the train is stationary.,,,,,,,,,,,,
2257,Exit from Shunting shall take place when the driver selects exit from shunting.,,,,,,,,,,,,
2258,"Partial Supervision shall be selected either by the Driver, or by information received from track-to-train transmission.",,,,,,,,,,,,
2259,If acknowledgement is specifiedthe driver shall acknowledge transfer from Full Supervision to Partial Supervision within 5 seconds .,,,,,,,,,,,,
2260,Partial Supervision shall be indicated on the DMI.,,,,,,,,,,,,
2261,In Partial Supervision the train shall be supervised according to train speed and distance data available.,,,,,,,,,,,,
2262,The train shall have the capability of being supervised to a ceiling speed.,,,,,,,,,,,,
2263,This ceiling speed shall not be shown continually on the DMI but may be shown momentarily when selected by the driver.,,,,,,,,,,,,
2264,"The train shall leave Partial Supervision when the trainborne equipment is not operative any longer, when Shunting is selected or when Full Supervision is available.",,,,,,,,,,,,
2265,It shall be possible to order a train trip when passing a stop signal.,,,,,,,,,,,,
2266,Transferring to Full Supervision shall occur automatically when a movement authority and all other necessary information is received through track-to-train transmission.,,,,,,,,,,,,
2267,Full Supervision shall provide supervision of speed and distance.,,,,,,,,,,,,
2268,"The train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the DMI unless selected by the driver.",,,,,,,,,,,,
2269,The supervised Shunting speed shall be indicated to the driver on request,,,,,,,,,,,,
2270,"On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear",,,,,,,,,,,,
2271,It shall be possible to define certain locations (e.g. tunnels) where speed increase is related to the front of the train.,,,,,,,,,,,,
2272,The braking curves shall ensure that the train complies with its speed requirements.,,,,,,,,,,,,
2273,Where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point.,,,,,,,,,,,,
2274,"The release speed shall be calculated on board, based on either: safety distance and overlap, accuracy of odometry, deceleration performance of the train, etc or given from the trackside.",,,,,,,,,,,,
2275,The release speed given from the trackside shall take priority over the release speed calculated on board,,,,,,,,,,,,
2276,The release speed shall be indicated on the DMI.,,,,,,,,,,,,
2277,If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,,,,,,,,,,,,
2278,"When the train is stationary or after a certain time (e.g. the time for ""route releasing"" of the overlap, the release speed calculation shall be based on the distance to the danger point (if calculated on-board). The condition for this change shall be defined for each target as infrastructure data.",,,,,,,,,,,,
2279,Each railway shall have the possibility of allowing a different release speed for every signal.,,,,,,,,,,,,
2280,The ETCS trainborne equipment shall be able to determine the location of the entire train.,,,,,,,,,,,,
2281,"On lines fitted with RBC, the ETCS trainborne equipment shall be able to transmit the location of the entire train to the RBC.",,,,,,,,,,,,
2282,The train location calculation shall take into account error of odometry.,,,,,,,,,,,,
2283,Actual speed shall be indicated on the DMI,,,,,,,,,,,,
2284,"There shall be no discrepancy between the speed shown to the driver and the speed used for supervision of movement authorities and speed limits, function (4.3.7.).",,,,,,,,,,,,
2285,The indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of ETCS.,,,,,,,,,,,,
2286,The driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed. This shall be shown to the driver in a way that is understandable and logical.,,,,,,,,,,,,
2287,Visual and acoustic warnings to the driver about possible intervention from ETCS shall be given to enable the driver to react and avoid intervention.,,,,,,,,,,,,
2288,A train shall be supervised to its static and dynamic train speed profiles.,,,,,,,,,,,,
2289,"Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.",,,,,,,,,,,,
2290,The target distance shall not be shown on the DMI unless selected by the driver.,,,,,,,,,,,,
2291,"If the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin, the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake",,,,,,,,,,,,
2292,When changing to a higher speed level the rear end of the train shall respect the static train speed profile.,,,,,,,,,,,,
2293,"When changing to a lower speed level, the front end of the train shall respect the dynamic train speed profile.",,,,,,,,,,,,
2294,"The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside.",,,,,,,,,,,,
2295,"Based on all relevant data, the ETCS shall calculate an emergency braking curve and a service braking curve",,,,,,,,,,,,
2296,This static train speed profile shall also respect maximum line speed and track speed and special speed levels for special classes of trains.,,,,,,,,,,,,
2297,The ETCS trainborne equipment calculates the static train speed profile on the basis of infrastructure data and train data.,,,,,,,,,,,,
2298,It shall be possible to permit/inhibit the service brake intervention by trackside,,,,,,,,,,,,
2299,"At Start Up, the on board equipment shall perform an automatic self-test.",,,,,,,,,,,,
2300,The test shall require no action on the part of the driver.,,,,,,,,,,,,
2301,The DMI shall indicate the result of the self-test.,,,,,,,,,,,,
2302,Train data shall be entered before the on-board ETCS equipment allows train movement.,,,,,,,,,,,,
2303,The driver shall be able to select Train Data Entry on the DMI.,,,,,,,,,,,,
2304,ETCS shall calculate the permitted speed for the train for all locations of the authorised movement.,,,,,,,,,,,,
2305,Train data may be entered automatically from a railway management system or from train memory.,,,,,,,,,,,,
2306,Entering or overwriting data manually by the driver shall be possible but only when stationary.,,,,,,,,,,,,
2307,Current train data shall be stored (except at transition to shunting) in the ETCS equipment until the traction unit is not operative.,,,,,,,,,,,,
2308,Stored train data shall be offered to the driver to be confirmed when Data Entry starts.,,,,,,,,,,,,
2309,"The system for Train Data Entry shall provide for the input of other data required by STMs connected to ETCS. This may require additional items, not required for ETCS, to be entered.",,,,,,,,,,,,
2310,The entry of driver identification and the selection of the language shall be possible.,,,,,,,,,,,,
2311,ETCS shall collect all relevant information concerning train and line speed.,,,,,,,,,,,,
2312,The change of driver identification during a journey or a Train Running Number shall be possible,,,,,,,,,,,,
2313,"Following successful completion of Train Data Entry, the driver shall be able to perform shunting movements or train movements.",,,,,,,,,,,,
2314,"The following data may be entered manually by the driver or from train memory (M), or provided by external sources (O): Driver identification, Train identification (train number) STM ready for use, Data required for brake calculation, Maximum train speed, Train length, Status of air tight system, Type of electric power accepted, Data additional required for STM (if any), International train category, Train gauge, Maximum axle load of the train with a resolution of 0,5 t.",,,,,,,,,,,,
2315,If the onboard fails to contact the RBC when awakening the driver shall be asked to enter the RBC contact details.,,,,,,,,,,,,
2316,The driver shall be able to consult train data when the train is stationary or moving.,,,,,,,,,,,,
2317,Communications Interfaces There are no special communication interface requirements,,,,,,,,,,,,
2318,Software Quality Attributes Web design conventions should be consistent with the standards and conventions used on the OUS site.,,,,,,,,,,,,
2319,"There is a need to track and evaluate the â€œhitsâ€� and time spent on the student-focused website over time; and make content, design, and navigation changes as needed based on evaluation of hits.",,,,,,,,,,,,
2320,Software Interfaces There are no special software interface requirements,,,,,,,,,,,,
2321,"The Get Real site should be hosted on a server that can provide adequate response time. High school students tend to have short attentions spans, so a slow server would not be satisfactory for this application. The current OUS (www.ous.edu) site is a good example of rapid response time.",,,,,,,,,,,,
2322,"User Interfaces The Get Real site should work and be tested against IE, Firefox and Netscape.",,,,,,,,,,,,
2323,Copyright and other security measures for Get Real should be the same as the OUS site.,,,,,,,,,,,,
2324,Hardware Interfaces There are no special hardware interface requirements,,,,,,,,,,,,
2325,The DUAP Output Services shall be able to publish traffic data in the Synchro traffic analysis tool Synchro interface format.,,,,,,,,,,,,
2326,The DUAP Output Services shall be able to publish traffic data in the Paramics traffic analysis tool Paramics interface format.,,,,,,,,,,,,
2327,The DUAP Output Services shall be able to publish traffic data in the SimTraffic traffic analysis tool SimTraffic interface format.,,,,,,,,,,,,
2328,The DUAP Output Services shall be able to publish traffic management data in TMS/H interface format.,,,,,,,,,,,,
2329,The DUAP Presentation Services shall present data published by Output Services.,,,,,,,,,,,,
2330,The DUAP System shall log Output Services data transactions.,,,,,,,,,,,,
2331,The DUAP Output Services shall be able to publish weather data elements as enumerated in APPENDIX D - Weather Data Elements from Clarus output format.,,,,,,,,,,,,
2332,The DUAP Output Services shall be able to publish asset condition data using the asset condition data interface format.,,,,,,,,,,,,
2333,The DUAP Output Services shall be able to publish traffic condition alerts using the traffic condition alert interface format.,,,,,,,,,,,,
2334,The DUAP Output Services shall be able to publish weather condition alerts using the weather condition alert interface format.,,,,,,,,,,,,
2335,The DUAP System shall publish information for the MDOT MI Drive presentation.,,,,,,,,,,,,
2336,The DUAP Output Services shall be able to publish asset condition alerts using the asset condition alert interface format.,,,,,,,,,,,,
2337,The DUAP Output Services shall be able to publish alerts using the threshold exceeded alert interface format when thresholds have been exceeded.,,,,,,,,,,,,
2338,The DUAP Output Services shall be able to publish traffic data in the VISSIM traffic analysis tool VISSIM interface format.,,,,,,,,,,,,
2339,The DUAP System shall publish alerts.,,,,,,,,,,,,
2340,The DUAP Output Services shall be able to publish data to SEMSIM using the SEMSIM interface format.,,,,,,,,,,,,
2341,The DUAP System shall log Computational Services data transactions.,,,,,,,,,,,,
2342,The DUAP Output Services shall be able to publish roadway traffic information in Traffic Management Data Dictionary (TMDD) format,,,,,,,,,,,,
2343,The DUAP Computational Services shall be able to derive pothole severity from probe vehicle data.,,,,,,,,,,,,
2344,The DUAP System shall be able to identify high risk locations.,,,,,,,,,,,,
2345,The DUAP Presentation Services shall include a user interface for browsing traffic information.,,,,,,,,,,,,
2346,The DUAP System shall be able to calculate measures of effectiveness.,,,,,,,,,,,,
2347,The DUAP System shall be able to perform data quality checking.,,,,,,,,,,,,
2348,The DUAP System shall store geo-references for Michigan roadways.,,,,,,,,,,,,
2349,The DUAP System shall store DUAP system configuration data.,,,,,,,,,,,,
2350,The DUAP System shall archive cached data.,,,,,,,,,,,,
2351,The DUAP Persistent Data Services shall be able to archive cached (raw and derived) probe vehicle data.,,,,,,,,,,,,
2352,The DUAP Persistent Data Services shall be able to archive cached (raw and derived) traffic data.,,,,,,,,,,,,
2353,The DUAP Persistent Data Services shall be able to archive cached (raw and derived) roadway weather data.,,,,,,,,,,,,
2354,The DUAP Persistent Data Services shall be able to archive cached (raw and derived) road condition data.,,,,,,,,,,,,
2355,The DUAP System shall log Persistent Data Services data transactions.,,,,,,,,,,,,
2356,The DUAP System shall publish data.,,,,,,,,,,,,
2357,The DUAP Output Services shall be able to publish traveler data in SAE J2354 format as enumerated in Appendix E,,,,,,,,,,,,
2358,The DUAP Output Services shall be able to publish traffic data to TMS using the TMS interface format.,,,,,,,,,,,,
2359,"The traffic information browser shall allow a user to query traffic-related information using a web browser capable of supporting HTML 4.01, JavaScript (ECMA262 edition 3), and XML 1.0.",,,,,,,,,,,,
2360,The DUAP System shall use a Java software foundation.,,,,,,,,,,,,
2361,The information browsers shall provide a means for users to select between Metric and English units of measurement for display.,,,,,,,,,,,,
2362,"The weather information browser shall allow a user to view weather-related information using a web browser capable of supporting HTML 4.01, JavaScript (ECMA262 edition 3), and XML 1.0.",,,,,,,,,,,,
2363,The DUAP System shall require users to log in for system access.,,,,,,,,,,,,
2364,The DUAP Presentation Services shall require users to uniquely identify themselves.,,,,,,,,,,,,
2365,The DUAP Presentation Services shall require users to confirm their identity.,,,,,,,,,,,,
2366,The DUAP System shall log Presentation Services data transactions.,,,,,,,,,,,,
2367,The DUAP system shall use Java Database Connectivity (JDBC) components to interact with databases.,,,,,,,,,,,,
2368,The DUAP System shall be able to use Oracle 10G as the relational database.,,,,,,,,,,,,
2369,The DUAP System shall handle database data requests through standard Structured Query Language (SQL). Commands.,,,,,,,,,,,,
2370,The DUAP System shall use Michigan Geographic Framework geo-references.,,,,,,,,,,,,
2371,The DUAP System shall be capable of adding new data sources.,,,,,,,,,,,,
2372,The DUAP System shall be capable of adding new computational algorithms.,,,,,,,,,,,,
2373,The DUAP System shall be capable of adding new output formats of published data.,,,,,,,,,,,,
2374,The DUAP System shall be capable of adding new presentations of published data.,,,,,,,,,,,,
2375,The DUAP Computational Services shall be able to derive pothole location from probe vehicle data.,,,,,,,,,,,,
2376,Access to the DUAP system shall be limited to users authorized by MDOT.,,,,,,,,,,,,
2377,"The weather information browser shall allow a user to query weather-related information using a web browser capable of supporting HTML 4.01, JavaScript (ECMA262 edition 3), and XML 1.0.",,,,,,,,,,,,
2378,"The traffic information browser shall allow a user to view traffic-related information using a web browser capable of supporting HTML 4.01, JavaScript (ECMA-262 edition 3), and XML 1.0.",,,,,,,,,,,,
2379,The DUAP Presentation Services shall include a user interface for browsing weather information.,,,,,,,,,,,,
2380,"The asset condition information browser shall allow a user to query asset condition-related information using a web browser capable of supporting HTML 4.01, JavaScript (ECMA-262 edition 3), and XML 1.0.",,,,,,,,,,,,
2381,The information browsers shall provide a map display which uses icons to identify the locations with associated data.,,,,,,,,,,,,
2382,The system map display shall provide a means to select which data layers are displayed.,,,,,,,,,,,,
2383,The system map display shall support each type of traffic item to be displayed in its own layer.,,,,,,,,,,,,
2384,The system map display shall support pan and zoom capabilities to allow a user to select the area to be displayed.,,,,,,,,,,,,
2385,The system map display shall support de-cluttering to reduce the number of icons displayed when large areas are displayed.,,,,,,,,,,,,
2386,The information browsers shall provide tabular information identifying locations with associated data,,,,,,,,,,,,
2387,The tabular information display shall provide a means to select the data to be displayed.,,,,,,,,,,,,
2388,The tabular information display shall provide a means to select the area to be displayed.,,,,,,,,,,,,
2389,The DUAP Presentation Services shall include a user interface for browsing incident information.,,,,,,,,,,,,
2390,"The incident information browser shall allow a user to query incident-related information using a web browser capable of supporting HTML 4.01, JavaScript (ECMA262 edition 3), and XML 1.0.",,,,,,,,,,,,
