ID,RequirementText,Functional (F),Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),AI_Model,AI_Confidence,AI_Rationale
974,"The reading and understanding of the textual content on the screen should be supported by suitable means, including the use of short sentences, the division of the text into shorter chunks or the presentation of content items in the form of bullet points.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.86,"Requirement specifies how textual content should be presented (short sentences, chunks, bullet points) which directly concerns the user interface/look-and-feel and improves readability/usability. It does not specify functional behavior, performance, security, availability, etc."
975,The quality of textual content with respect to spelling and grammar should be sufficient so as not to impede readability.,0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.7,"Requirement concerns readability and quality of textual content (spelling/grammar) so it affects user comprehension and ease of use — a usability requirement. It does not specify legal, performance, availability, UI appearance, or other non-functional categories."
976,"Making text resizable by the user: Text should be able to be resized by the user, using functions provided by the user agent or other appropriate means i.e. see ISO 9241-171.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.86,"Requirement concerns user control over text size, which is an accessibility/usability concern (US) and pertains to presentation/look-and-feel of the UI (LF). It does not specify functional behavior or other non-functional categories."
977,"When designing user interfaces for use by diverse groups, input and output of information elements such as currency, units of measurement, temperatures, date and time, phone numbers, address or postal codes should be designed so that they are usable.",0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.85,"The requirement prescribes designing UI input/output for diverse groups (formats for currency, units, dates, phone numbers, addresses) to be usable. This is a usability / UX requirement. It does not specify functional behavior, performance, security, portability, or other quality attributes explicitly, so only US is set."
978,"The content of error messages shown on the pages or special error pages should clearly state the reason why the error occurred and, if possible, actions the user can take to resolve the error. Users expect error messages to be in the same language as the user interface.",1,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.86,"Specifies what the system should display (clear explanatory error messages and suggested user actions) — a functional requirement — and addresses user-facing clarity and language matching the UI, which are usability concerns. No indication of availability, security, performance, scalability, portability, or maintainability."
979,Potential user errors as well as the effort needed to recover from errors should be minimized.,0,0,1,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.8,"Requirement targets reducing user errors (usability) and lowering effort to recover from errors (fault tolerance/error recovery). It does not specify availability, performance, security, portability, etc."
980,"Application pages should be designed and implemented so that there are acceptable opening times and download times for the expected range of technical contexts of use (e.g. bandwidth between the application and the user). This is particularly important for frequently accessed pages or pages that are important for user navigation and exploration, such as the home page.",0,0,0,0,0,0,0,1,0,0,0,1,gpt-5-mini,0.86,"Requirement specifies acceptable page opening and download times across expected technical contexts (bandwidth) — a performance concern. It also emphasizes frequently accessed and navigation pages impacting user experience, so usability applies. No explicit availability, scalability, security, legal, or look-and-feel requirements."
981,"The System must be able to retrieve and display within 5-8 seconds the case which has been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system. This requirement is intended to allow for rapid retrieval of frequently-used cases, on the understanding that frequency of use is typically correlated with recent use.",1,0,0,0,0,0,0,1,0,1,0,0,gpt-5-mini,0.9,"Specifies system behavior (retrieve and display cases) so functional. Includes explicit timing requirement (5-8 seconds) -> performance. States requirement must hold regardless of number of cases/storage capacity, which implies a scalability constraint."
982,User interfaces should be designed to be as robust as possible in the face of changing technology. This encompasses being able to present content containing newer technologies by older user agents as well as designing content to be usable with future technologies.,0,0,0,0,0,0,0,0,1,0,0,1,gpt-5-mini,0.73,"The requirement focuses on designing user interfaces to remain compatible with changing technologies and to present content across older and future user agents—this is primarily about portability/compatibility across platforms (PO). It also speaks to the interface being usable with future technologies, which pertains to usability (US). Other categories (security, performance, availability, etc.) are not implied."
983,Vertical scrolling should be minimized. This may be done by placing important information at the top and providing links to information that is further down the page. Horizontal scrolling should be avoided wherever possible.,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,Requirement concerns page layout and navigation to minimize scrolling and improve presentation and user experience; this is primarily Look & Feel and Usability.
984,"Avoiding opening unnecessary windows: Additional windows such as new browser windows or pop-up windows should only be opened if this supports the userâ€™s task. Opening new windows can distract, confuse or impede users for a variety of reasons. They can superimpose the primary window, hiding relevant information.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.86,"The requirement specifies user interface behavior to avoid opening unnecessary/pop-up windows because they distract or hide information. This is primarily about UI presentation and user experience (Look & Feel and Usability). It does not specify availability, security, performance, portability, maintainability, operability, scalability, or functional system behavior beyond the UI guideline."
985,"Splash screens should be avoided unless they provide useful content or feedback about the application state to the user. If a splash screen is used, a navigation option to skip it should be offered.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.84,"Requirement concerns UI behavior and presentation (avoid splash screens; provide skip option), which pertains to Look & Feel and overall Usability rather than functionality or security."
986,"Minimizing navigation effort: The number of navigation steps needed to reach a certain piece of content should be minimized as long as different mental models, navigation strategies and tasks of the user are taken into account.",0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.8,"Requirement specifies minimizing navigation effort and accounting for user mental models and navigation strategies, which directly concerns usability (ease of use, navigation, learnability). It does not state functional behavior, availability, security, performance, or other NFRs explicitly."
987,Offering alternative access paths: Alternative access paths for navigating to a specific unit of content should be offered to support different navigation strategies.,1,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.86,"The requirement specifies offering alternative navigation paths (a functionality to provide different ways to reach content) and is primarily about supporting different navigation strategies, which is a usability concern. It does not mention performance, security, legal, maintainability, etc."
988,Showing users where they are: Each presentation segment (page or window) should provide the user with a clear and sufficient indication of where he or she is in the navigation structure and of the current segment position with respect to the overall structure.,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.85,"Requirement specifies UI presentation of navigation context (where the user is), which is a look-and-feel requirement. It also explicitly demands clarity/sufficiency for users, which impacts usability."
989,"Making navigation self-descriptive: Navigation should be designed to help users understand where they are, where they have been and where they can go next. General guidance on achieving self-descriptiveness is given in ISO 9241-110.",0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.86,"Requirement specifies that navigation must help users understand location and paths (learnability, understandability) which is a usability concern. It does not impose availability, performance, portability, security, or maintenance constraints, nor purely visual styling."
990,"Providing text equivalents for non-text media objects: All non-text media objects, such as graphical images or video, should be provided with alternative equivalent textual descriptions and/or with equivalent text-based functionality.",0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.9,This requirement mandates providing textual equivalents for non-text media to support accessibility and ease of use; it is an accessibility/usability quality requirement rather than a functional feature or other NFR category.
991,The user interfaces of the system should comply with Standard ISO 9241.,0,0,0,1,1,0,0,0,0,0,0,1,gpt-5-mini,0.86,"Requiring compliance with ISO 9241 is a standards/legal compliance requirement (L) and directly concerns user interface design/look-and-feel (LF). ISO 9241 also addresses usability and human–system interaction, so US is applicable. No other quality attributes are implied."
992,The user interfaces should be designed to make them user intuitive;,0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Requirement explicitly states UI should be user intuitive, which directly addresses usability. No mention of functionality, performance, security, etc."
993,"The System be scaleable and must not have any features which would preclude use in small or large police stations, with varying numbers of cases handled.",0,0,0,0,0,0,0,0,0,1,0,0,gpt-5-mini,0.9,"Requirement explicitly demands the system be scalable and usable in small or large police stations with varying case volumes, which is a direct scalability concern. No other quality attributes (performance, portability, security, etc.) are mentioned."
994,"Navigation links â€” particularly links representing the main navigation structure â€” should be labelled with terms that are familiar to the user, based on his/her general knowledge, prior experience in the application domain or experience of using other systems.",0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.9,"This requirement concerns using familiar terminology for navigation links to improve user comprehension and ease of use, which is a usability concern rather than a functional, security, or performance requirement."
995,"Designing for input device independence: User interfaces should be designed to allow activation of controls by a variety of input devices. The ability to choose between different input devices for activating controls such as links, fields and buttons is important both for users who prefer a certain input mode, mobile users and users with disabilities. In general, device independence can be achieved if the functionality is operable via a keyboard.",0,0,0,0,0,0,1,0,0,0,0,1,gpt-5-mini,0.8,"Requirement specifies UI design to support multiple input devices (keyboard operability) for ease of operation and accessibility. This is primarily a usability concern and affects operability/interaction; it does not impose legal, security, performance, or other qualities."
996,"The target or purpose of a link should be directly indicated by its label, avoiding generic labels such as â€œgoâ€� or â€œclick hereâ€� except where the purpose of the link is clear from its context on the page or the labels have commonly understood semantics in the particular application domain. Using appropriate terminology specific to the userâ€™s tasks and information needs is important for making the content easy to understand.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.86,"Requirement specifies how link labels should be worded to make content easy to understand and support users' tasks — this is a usability requirement. It also concerns the user interface wording/presentation, so Look & Feel applies. No indications of availability, security, performance, portability, scalability, maintainability, operability, or functional behavior."
997,"Navigation links should be clearly distinguishable from controls activating some action. Typical action types in user interfaces include manipulating application data, performing searches, communication actions, such as opening a new e-mail window or starting a chat function, and Hpresentation-related actions, such as sorting a list of search results.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"This requirement concerns the user interface presentation and how navigation links should be visually distinguishable from action controls — it specifies look-and-feel aspects and directly impacts usability (clarity, user understanding). It does not specify functional behavior, performance, security, or other categories."
998,"The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 10-15 seconds regardless of the storage capacity or number of cases in the system. In this context, performing a search means returning a result list. It does not include retrieving the records themselves.",0,0,0,0,0,0,0,1,0,1,0,0,gpt-5-mini,0.9,"This requirement specifies time bounds for search operations (performance). The clause 'regardless of the storage capacity or number of cases' indicates a scalability constraint. It does not describe functional search features beyond returning a result list, nor other quality concerns."
999,"In the event of any software or hardware failure, it must be possible to restore the System (with inline synchronization) within no more than (xx) hours.",0,1,1,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Requirement specifies restore time after software or hardware failures (recovery within a fixed number of hours) which directly concerns fault tolerance and system availability/reliability. It does not specify functional behavior, security, performance, or other qualities."
1000,The number of incidents of unplanned downtime for the System must not exceed (x) per (rolling three month period).,0,1,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement limits allowed unplanned downtime incidents per period, which is a direct availability/reliability constraint. It does not specify functional behavior, fault-tolerance mechanisms, performance, security, or other qualities explicitly."
1001,Unplanned downtime for the System must not exceed (xx hours/minutes) per (rolling three month period).,0,1,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies maximum allowed unplanned downtime over a rolling period, which is an availability/reliability requirement."
1002,The System is considered to be down if any user is unable to perform any normal System function and if this failure is attributed to any component of the System other than the workstation.,0,1,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Defines when the system is considered 'down' (availability definition/criterion). Does not specify fault tolerance, operability, or other qualities."
1003,The planned downtime for the System must not exceed (xx) hours per (rolling three month period).,0,1,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,"Specifies a limit on planned downtime over a rolling three-month period, which is an availability requirement."
1004,"The System must be available to users: from (xx:00) to (xx:00), on (all weekdays/xxx days per year);",0,1,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.93,Specifies required availability windows (times/days). This is an availability requirement; no functional behavior or other quality attributes are mentioned.
1005,The user interfaces of the system should follow the guidelines specified under www.usability.gov.,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.85,"Requirement mandates that user interfaces follow usability.gov guidelines, which concerns interface appearance and usability. This aligns with Look & Feel and Usability qualities; it does not specify legal compliance, performance, security, or other categories."
1006,"If user-specified profiles are used, users should be able to see, modify and delete that profile on demand.",1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies functional capabilities (view, modify, delete user-specified profiles on demand). No explicit non-functional constraints such as availability, security, usability, etc., are mentioned."
1007,"If predefined user profiles or user-specified profiles are used for individualizing or adapting content, the profile currently used should be made evident. If profiles are used, it is important to provide users with information about this concept and its implications.",0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.8,"The requirement concerns informing users and making the currently used profile evident, which is about usability, transparency and user-facing information. It does not specify availability, performance, security, portability, maintainability, operability, scalability, fault tolerance, legal, or detailed functional behavior beyond user information, so only Usability is marked."
1008,It should be made evident to the user when individualization and/or adaptation are used.,0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.72,"Requirement specifies that the system must make it evident to users when personalization/adaptation is active — this is about transparency and user experience (usability). It implies a UI indication but does not mandate legal, security, performance, or other quality attributes."
1009,"When providing different access paths or navigation structures for different user groups, the tasks and information needs of these user groups should be taken into consideration.",1,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.8,"The requirement specifies the system should provide different access paths/navigation for user groups (a functional behavior) and emphasizes tailoring to tasks and information needs, which is a usability concern. No mention of availability, security, performance, etc."
1010,"Adapting the content and the navigation of a user interface to individual users or user groups can be a useful mechanism for providing information that is of interest to the users and for making access to relevant information more efficient. User adaptation can also be important for making the user interface more accessible. Different approaches can be used for achieving these goals, like providing users with means for customizing the user interface to their personal needs i.e. individualization designing content and navigation differently for varying user groups or roles i.e. such as employees of different levels, citizens etc, monitoring the userâ€™s behaviour and adapting to the userâ€™s goals that are inferred from the behaviour observed, recommending information that is potentially more relevant or interesting to the specific user, based on the behaviour of all users or a user group.",1,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.78,"The requirement specifies functionality to adapt/customize UI content and navigation for individual users/groups (a feature), and it explicitly aims to improve accessibility and ease of access (usability). It does not specify availability, performance, security, portability, scalability, legal, look-and-feel aesthetics, or maintenance/operability concerns."
1011,Navigation components should be placed consistently on the pages or in the framesets in the pages of the application.,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"This requirement specifies consistent placement of navigation components, which is a look-and-feel / user interface design constraint (LF) and directly affects usability (US). It does not specify functionality, performance, security, or other quality attributes."
1012,"If navigation components (or overviews) are shown in conjunction with associated content, consistency between the navigation component and the content shown should be maintained by indicating in the navigation component (e.g. highlighting) the topic currently visible in the content area.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Requirement specifies visual consistency and highlighting in the navigation component and how the UI should present state to the user—this pertains to look-and-feel and usability (navigation clarity), not functional behavior or other non-functional categories."
1013,A separate navigation overview such as a site map should be provided for application showing the structure of the site in an overview form.,1,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.8,"This requirement specifies a feature: provide a separate navigation overview/site map (functional). It also targets usability by helping users understand site structure and navigate the application (usability). No explicit non-functional aspects like performance, security, availability, etc., are mentioned."
1014,Linking back to the home page or landmark pages: Each page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.86,"Requirement specifies user-interface/navigation design (each page must include a link to home/landmark). This is about look-and-feel and ease of navigation (usability). It does not specify functional behavior, performance, security, availability, etc."
1015,"Observing principles of human perception When designing application pages, the general principles of human perception should be taken into account. The International Standards mentioned below shall be consulted for guidance. Practical guidelines for presenting information to the user are to be found in ISO 9241-12. Guidance on selecting and using different forms of interaction techniques is to be found in ISO 9241-14 to ISO 9241-17. ISO 9241-14 gives guidance about menus, ISO 9241-15 about command dialogues, ISO 9241-16 about direct manipulation and ISO 9241-17 about forms. In addition, when designing multimedia information presentations, the design principles and recommendations described in ISO 14915-1 to ISO 14915-3 should be taken into account. Appropriate content presentation also plays a key role in accessibility.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"The requirement prescribes design principles for presentation, interaction, and multimedia (visual/layout concerns) and cites ISO usability/accessibility standards. This clearly concerns Look & Feel and Usability. It does not specify availability, security, performance, portability, scalability, maintainability, operability, or legal constraints explicitly."
1016,Placing title information consistently: Page titles should be placed in a consistent location on the different pages.,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Specifies consistent placement of page titles across pages, which concerns the user interface appearance (Look & Feel) and improves usability by providing predictable navigation; it does not address other quality attributes."
1017,"Consistent page layout: Pages should be designed using consistent layout schemes, supporting the user in finding similar information at the same position on different pages. Overall layout schemes apply to all pages and are preferable when all pages have a similar structure. Frequently, however, different pages have different purposes and types of content. In such cases, pages can usually be grouped in different categories, using one layout scheme for each category consistently.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"This requirement specifies consistent page layout and grouping of pages to help users find information—it is a look-and-feel/UI design requirement (LF) and directly relates to usability (US). It does not specify availability, performance, security, portability, scalability, maintainability, operability, fault tolerance, or functional behavior."
1018,"If frames are used, an alternative way of presenting relevant information without frames should be provided. Providing alternative text-only pages: When style sheets and/or frames are turned off it should be possible for the user to read and understand the page; alternatively, the user should be provided with an equivalent alternative text-only page.",0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Requirement specifies providing alternative text-only presentation when frames or style sheets are unavailable, addressing accessibility and ease of use—an usability (accessibility) concern rather than performance, security, or functional behavior."
1019,"Colour should be used with care, taking into account human capabilities and restrictions in perceiving colour, and not as the only means of conveying information. Color should never be the only means of coding. Some users may have difficulties in perceiving certain colors or color combinations (color-blindness).",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.92,Requirement addresses use of color in UI—both visual appearance (look & feel) and accessibility/usability for users with color perception issues. Does not specify functionality or other quality attributes.
1020,"The length of a page should be selected so as to support the primary purpose and use of the page. Short pages are generally more appropriate for homepages, navigation pages, or overview pages that need to be read quickly. Longer pages can be more appropriate when users want to read the content without interruptions or when the page needs to match a paper counterpart.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.88,"Specifies page length and presentation appropriate to purpose—this is a look-and-feel/layout requirement and affects usability/readability. No functional, performance, security, or other quality attributes are explicitly required."
1021,"â€œWhite spaceâ€� on a page i.e. space filled only with the background color should be used in such a way that it does not impair the visual skimming of the page. While white space is an important means of visually organizing the different content elements on a page, if the distance between the blocks of information displayed becomes too large, rapid skimming of the page can be impeded.",0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Requirement concerns page visual layout and spacing affecting visual skimming and organization (Look & Feel) and directly addresses ease of scanning/readability for users (Usability). No mention of functionality, performance, security, etc."
1022,"If a document is either too long, dispersed over several pages or in a specific layout that is not suitable for online reading, a printer-friendly version of the document should be provided that prints the content in a form acceptable to the user (e.g. in the expected layout, paper format, or orientation).",1,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Requires the system to provide a printer-friendly version (functional). Specifies output layout, paper format and orientation acceptable to the user, which concerns presentation/look-and-feel. Also improves usability for reading/printing, so usability is applicable. No explicit requirements about availability, performance, security, portability, maintainability, scalability, fault tolerance, or legal constraints."
1023,Links that open new browser windows or pop-up windows should be clearly marked.,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"This is a user interface requirement specifying how links should appear (visual marking) and affects usability (helping users understand behavior), so Look & Feel and Usability apply. It does not specify functionality, performance, security, etc."
1024,The System must provide adequate response times for commonly performed functions under both standard and peak conditions;,0,0,0,0,0,0,0,1,0,1,0,0,gpt-5-mini,0.86,This requirement specifies response time expectations (performance) for common functions under standard and peak load—explicitly a performance concern. Mention of peak conditions implies scalability (ability to handle increased load). No indication of other qualities.
1025,ICT accessibility: ISO 9241-20 shall be the standard for guidance on ICT accessibility. Application user interfaces to meet its requirements and recommendations. Software accessibility ISO 9241-171 shall be the standard for guidance on software accessibility. User interfaces should meet its requirements and recommendations. Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility. The application logo to be available on all pages as a link to the home page.,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.87,"Specifies adherence to accessibility standards for UI/content (usability/accessibility) and a UI requirement that the application logo links to home — these are look-and-feel and usability concerns rather than security, performance, portability, etc."
1026,Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.8,"Specifies UI interaction design to minimize clicks—this is primarily a usability requirement (efficiency of user tasks). It also implies UI/layout considerations, so Look & Feel is marked. No functional behavior, security, performance, etc., are specified."
1027,The help should be accessible to the users both in the offline and online mode;,1,0,1,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"Specifies that the help feature must be accessible (functional requirement) and available in both offline and online modes, implying resilience to loss of connectivity (fault tolerance). Does not mention security, performance, scalability, etc."
1028,The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application;,1,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.89,"This requirement specifies a feature to provide context-sensitive help across all UIs (functional) and targets user assistance/usability (improves learnability and ease of use). It does not mention availability, performance, security, portability, etc."
1029,"The system should ensure high scalability and performance through: Use of cache for storing frequent data, Use of AJAX based technology to improve user experience. Aggressive page loading to be considered based on the screen and estimate usage pattern, Leverage Asynchronous HTTP socket capabilities of web server for scalability and performance, Host all the static content (documents, images) on the web server, The search results should be fetched from the database in batches of 10 or 20 maximum as configured within the application, Display of records on the screen in batches/paged manner, The search should fetch only the fields that need to be displayed to the user. Only when the user clicks on a particular record to view its further details should a query be fired to fetch the additional details for this particular record only, A hierarchical cache should be configured and used for caching of results of most;",0,0,0,0,0,0,0,1,0,1,0,1,gpt-5-mini,0.86,"The requirement explicitly focuses on scalability and performance techniques (caching, async sockets, batching, paging, minimizing fetched fields) — so mark Performance and Scalability. It also specifies AJAX and UX-related behaviors to improve user experience, so Usability is applicable. No explicit availability, security, portability, maintainability, legal, fault-tolerance, operability or functional requirements are stated."
1030,"The system should ensure high standards of security and access control through: Prevent cross-site scripting, Validate the incoming data / user request, Encode the incoming data / user request, Prevent SQL Injection, Utilize parameterized queries, Sanitize the user-inputs, Validate the data both at the client and server, Do not allow hard delete and perform only soft tagging the row for deletion;",0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.92,"The requirement explicitly describes security and access control controls: preventing XSS and SQL injection, input validation/sanitization/encoding, parameterized queries, client/server validation, and use of soft deletes for data protection. These are security-related measures; no other quality attributes (availability, performance, usability, etc.) are mentioned."
1031,The system should ensure secure transmission of data over the network and utilize SSL and 2-way digital signatures;,0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"Requirement explicitly mandates secure transmission mechanisms (SSL, two-way digital signatures), which concerns confidentiality/integrity/authentication — a security non-functional requirement."
1032,The system should support selective encryption of the stored data;,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"Specifies a capability (support selective encryption) which is a functional requirement and directly concerns data protection via encryption, a security requirement. No indication of availability, performance, etc."
1033,The system should run on multiple browsers;,0,0,0,0,0,0,0,0,1,0,0,0,gpt-5-mini,0.93,"Requirement specifies cross-browser support/compatibility, which is a portability concern. It does not state functional behavior or other quality attributes."
1034,"The system should use HTTPS as the communication protocol, i.e., HTTP over an encrypted secure socket layer (SSL);",0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.87,Specifies use of HTTPS/SSL which is a security requirement for encrypted communications (confidentiality and integrity). No other quality attributes are mentioned.
1035,The system should support secure virtual private network connections;,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.86,"Requirement specifies that the system should support virtual private network connections (functional capability) and emphasizes they be secure, implying security concerns (confidentiality/integrity). No explicit statements about availability, fault-tolerance, scalability, portability, legal compliance, usability, or other qualities."
1036,The system should support SSL encrypted connections;,0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"Specifies support for SSL encrypted connections, which is a security requirement (confidentiality/integrity of communications). No other quality attributes (availability, performance, etc.) are mentioned."
1037,The system should have capability to support public access to a subset of data and functionality;,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.8,"Specifies capability to support public access (a functional requirement). Implies access control decisions about which data/functionality are public, so security is relevant."
1038,The system must support multiple types of communication services for remote access;,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.73,"This requirement specifies a capability the system must provide (support multiple communication service types for remote access), which is a functional requirement. It does not explicitly state platform compatibility, availability, security, or other quality attributes."
1039,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"This specifies a functional requirement to provide an interface for logging and tracking defects/enhancements. No explicit non-functional qualities (security, availability, usability, etc.) are stated."
1040,The system should be designed for access through browser-based systems and must impose minimal requirements on the client device;,0,0,0,0,0,0,0,0,1,0,0,1,gpt-5-mini,0.85,"Specifying browser-based access and minimal client requirements indicates platform independence/compatibility across client devices (Portability). It also implies ease of use/accessibility from typical client devices (Usability). It does not explicitly state availability, security, performance, or other concerns."
1041,The system should be extensible to provide access to the interfaces through PDAâ€™s and mobile data terminals;,0,0,0,0,0,1,0,0,1,0,0,0,gpt-5-mini,0.8,"The requirement specifies extensibility to support access via PDAs and mobile data terminals. This implies portability across device platforms (PO) and an extensible/maintainable architecture (MN). It does not explicitly address availability, security, performance, usability, scalability, legal, look-and-feel, or operability."
1042,The system should be designed to have a n-tier architecture with the presentation logic separated from the business logic that is again separated from the data-access logic;,0,0,0,0,0,1,0,0,0,0,0,0,gpt-5-mini,0.74,"Specifies architectural separation of concerns (presentation/business/data-access), which primarily targets maintainability/modifiability. Other quality attributes (scalability, portability, operability) are not explicitly stated."
1043,The system should be developed to be deployed in a 3-tier datacenter architecture;,0,0,0,0,0,0,1,0,0,0,0,0,gpt-5-mini,0.78,"Specifies deployment architecture (3-tier datacenter), which relates to operability/administration and deployment requirements. It does not state functional behavior, performance, scalability, security, portability, or usability explicitly."
1044,The system should be developed for a centralized deployment and maintenance;,0,0,0,0,0,1,1,0,0,0,0,0,gpt-5-mini,0.9,Specifies deployment and maintenance approach (centralized deployment and maintenance). This directly concerns maintainability (how maintenance is organized) and operability/administration (deployment/operation model). Does not specify functional behavior or other quality attributes.
1045,The system should be built on a common User Access and Authentication Service to ensure Single-Sign on for the end-user;,0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.88,"The requirement mandates using a common User Access and Authentication Service to provide Single Sign-On, which is primarily a security/authentication requirement. It does not specify functional behavior, availability, usability, or other quality attributes explicitly."
1046,The system should be developed on Open Standards;,0,0,0,0,0,0,1,0,1,0,0,0,gpt-5-mini,0.83,"Specifying development on Open Standards is a constraint about technologies and interoperability/compatibility. This implies portability/compatibility across platforms (PO) and is similar to other technology-stack constraints labeled as Operability (O) because it affects integration, deployment, and maintainability/operation."
1047,The system should be implemented using Service Oriented Architecture (SOA) and have a modular design;,0,0,0,0,0,1,0,0,0,0,0,0,gpt-5-mini,0.85,"Specifies an architectural style (SOA) and modular design—these are design/architecture constraints that primarily target maintainability (modularity, separation of concerns). It does not explicitly state availability, fault-tolerance, performance, portability, scalability, security, operability, usability, or legal requirements."
1048,The system should be designed to have satisfactory performance even in Police Stations connected on low-bandwidth;,0,0,0,0,0,0,0,1,0,0,0,0,gpt-5-mini,0.88,"The requirement explicitly specifies performance under low-bandwidth conditions (satisfactory performance in police stations connected on low-bandwidth), which is a performance quality attribute. It does not mention availability, fault tolerance, usability, portability, or other categories."
1049,The system should work even in an offline mode with the critical functionality;,1,0,1,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.88,"Requirement specifies the system must operate in offline mode providing critical functionality — this is both a functional behavior (operate offline for key features) and a fault-tolerance/resilience concern (continue operating despite loss of connectivity). No explicit availability, performance, security, usability, or other quality attributes are mentioned."
1050,The system should be designed in manner that operational data is not lost in case of any failure of equipment or communication network;,0,1,1,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Requirement specifies that operational data must not be lost during equipment or network failures — this is a fault-tolerance requirement. It also implies availability/reliability of the system during such failures, so Availability is applicable. No indication of security, performance, usability, etc."
1051,The system should support multilingual interface;,1,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.86,"Specifies a system capability (support multilingual interface) — a functional feature — and relates to the user interface/experience (look & feel and usability). No explicit availability, performance, security, portability, etc. requirements."
